REF_DATE,City,Age group,Gender,VALUE
1978,Edmonton,55 to 64 years,Homme,72200.0
1978,Edmonton,55 to 64 years,Femme,23400.0
1978,Edmonton,65 years and over,Homme,21100.0
1978,Edmonton,65 years and over,Femme,19100.0
1978,Vancouver,15 to 24 years,Homme,24200.0
1978,Vancouver,15 to 24 years,Femme,22000.0
1978,Vancouver,25 to 34 years,Homme,73100.0
1978,Vancouver,25 to 34 years,Femme,42400.0
1978,Vancouver,35 to 44 years,Homme,81100.0
1978,Vancouver,35 to 44 years,Femme,52300.0
1978,Vancouver,45 to 54 years,Homme,90500.0
1978,Vancouver,45 to 54 years,Femme,38700.0
1978,Vancouver,55 to 64 years,Homme,80400.0
1978,Vancouver,55 to 64 years,Femme,21200.0
1978,Vancouver,65 years and over,Homme,29500.0
1978,Vancouver,65 years and over,Femme,17400.0
1979,Québec,15 to 24 years,Homme,29600.0
1979,Québec,15 to 24 years,Femme,23800.0
1979,Québec,25 to 34 years,Homme,70000.0
1979,Québec,25 to 34 years,Femme,48000.0
1979,Québec,35 to 44 years,Homme,77700.0
1979,Québec,35 to 44 years,Femme,45200.0
1979,Québec,45 to 54 years,Homme,80500.0
1979,Québec,45 to 54 years,Femme,29200.0
1979,Québec,55 to 64 years,Homme,57700.0
1979,Québec,55 to 64 years,Femme,21500.0
1979,Québec,65 years and over,Homme,20300.0
1979,Québec,65 years and over,Femme,15200.0
1979,Montréal,15 to 24 years,Homme,29400.0
1979,Montréal,15 to 24 years,Femme,22900.0
1979,Montréal,25 to 34 years,Homme,61900.0
1979,Montréal,25 to 34 years,Femme,36700.0
1979,Montréal,35 to 44 years,Homme,72400.0
1979,Montréal,35 to 44 years,Femme,33100.0
1979,Montréal,45 to 54 years,Homme,74000.0
1979,Montréal,45 to 54 years,Femme,31800.0
1979,Montréal,55 to 64 years,Homme,64400.0
1979,Montréal,55 to 64 years,Femme,22400.0
1979,Montréal,65 years and over,Homme,28500.0
1979,Montréal,65 years and over,Femme,15200.0
1979,Ottawa,15 to 24 years,Homme,20900.0
1979,Ottawa,15 to 24 years,Femme,18200.0
1979,Ottawa,25 to 34 years,Homme,65800.0
1979,Ottawa,25 to 34 years,Femme,48500.0
1979,Ottawa,35 to 44 years,Homme,93100.0
1979,Ottawa,35 to 44 years,Femme,35300.0
1979,Ottawa,45 to 54 years,Homme,82000.0
1979,Ottawa,45 to 54 years,Femme,37300.0
1979,Ottawa,55 to 64 years,Homme,79600.0
1979,Ottawa,55 to 64 years,Femme,17400.0
